EngagementSurvey,DaysLateLast30,Salary,Age,Absences,EmpSatisfaction,YearsOfWork,MaritalDesc,SpecialProjectsCount,PerformanceScore
1.41,5,60380,51,10,5,9,Divorced,0,PIP
1.28,3,74506,48,16,5,16,Separated,1,PIP
4.61,1,59380,39,7,5,9,Single,11,Exceeds
3.36,4,101626,47,10,4,11,Widowed,5,Needs Improvement
4.76,0,120219,46,0,5,9,Married,11,Exceeds
2.86,4,74785,37,24,3,8,Divorced,1,PIP
3.23,4,73480,36,11,4,8,Widowed,8,Needs Improvement
2.03,2,53430,50,8,4,12,Divorced,2,PIP
1.58,5,50584,37,21,3,8,Divorced,3,PIP
4.38,1,186653,36,7,5,11,Single,8,Fully Meets
3.55,4,115946,48,17,3,12,Widowed,7,Needs Improvement
4.99,1,172680,49,7,5,9,Married,14,Exceeds
4.96,1,61951,46,6,5,8,Divorced,14,Exceeds
4.89,2,177745,50,3,5,9,Single,12,Exceeds
1.66,2,56796,34,23,5,13,Divorced,1,PIP
4.35,0,205350,57,4,4,8,Married,6,Fully Meets
4.63,2,46845,39,5,5,11,Married,13,Exceeds
4.06,1,90289,47,7,5,9,Married,8,Fully Meets
3.45,2,109863,39,16,4,13,Divorced,7,Needs Improvement
4.12,0,133600,33,1,5,11,Single,11,Exceeds
2.08,5,60334,35,23,3,6,Divorced,4,PIP
2.2,3,127062,38,6,3,10,Divorced,7,Needs Improvement
1.5,6,60973,49,17,2,10,Divorced,4,PIP
3.34,2,91296,35,11,4,16,Divorced,6,Needs Improvement
4.64,1,72505,52,7,5,10,Single,12,Exceeds
4.96,0,76797,63,1,5,15,Single,12,Exceeds
2.37,3,46961,50,18,2,13,Divorced,4,PIP
1.63,7,70075,42,18,3,11,Separated,1,PIP
4.85,2,120067,65,3,5,15,Single,11,Exceeds
4.34,1,138606,59,1,5,14,Married,11,Exceeds
2.61,3,84374,57,6,3,8,Separated,5,Needs Improvement
2.73,5,49278,40,4,3,13,Widowed,3,PIP
2.66,3,88639,33,9,5,11,Divorced,7,Needs Improvement
4.69,1,140678,66,4,4,11,Single,9,Fully Meets
2.06,3,67603,50,5,3,11,Divorced,2,PIP
3.89,3,54355,37,2,4,15,Divorced,8,Needs Improvement
3.05,3,49850,40,24,5,10,Single,2,PIP
4.38,3,86282,46,6,5,15,Single,11,Exceeds
2.57,2,74435,35,6,5,6,Divorced,0,PIP
4.45,2,192184,53,0,5,15,Single,13,Exceeds
2.2,3,128935,38,4,4,15,Separated,5,Needs Improvement
4.51,3,88676,70,8,5,9,Single,7,Fully Meets
4.27,0,97725,46,2,4,15,Single,10,Fully Meets
2.32,3,125953,40,8,4,12,Widowed,6,Needs Improvement
4.55,3,178608,36,3,4,12,Married,8,Fully Meets
4.25,0,193841,48,1,5,15,Single,12,Exceeds
1.95,5,50908,44,23,4,15,Separated,0,PIP
2.7,2,92090,41,6,3,13,Separated,7,Needs Improvement
3.92,3,144069,41,3,3,10,Separated,7,Needs Improvement
2.17,3,100022,57,4,3,10,Divorced,8,Needs Improvement
4.32,3,113515,36,5,5,16,Married,13,Exceeds
2.08,4,116280,50,17,4,8,Separated,5,Needs Improvement
1.26,3,58918,53,5,3,14,Divorced,1,PIP
2.33,5,62081,48,6,2,8,Divorced,3,PIP
4.77,2,91963,47,9,4,17,Single,8,Fully Meets
4.23,2,184321,36,7,5,9,Single,9,Fully Meets
1.79,6,64024,58,8,2,10,Single,4,PIP
4.84,0,84445,42,8,4,9,Separated,6,Fully Meets
2.43,5,60164,54,12,1,7,Divorced,0,PIP
3.09,3,74160,33,25,3,8,Divorced,3,PIP
1.66,3,64595,45,6,4,5,Separated,1,PIP
4.05,1,89178,49,4,5,9,Single,11,Exceeds
4.82,1,64190,71,1,5,16,Single,10,Exceeds
4.74,3,118577,71,7,5,16,Married,11,Exceeds
2.29,4,52528,32,15,4,17,Widowed,6,Needs Improvement
4.11,0,127201,54,1,5,8,Single,13,Exceeds
2.94,2,70736,44,3,4,7,Divorced,6,Needs Improvement
2.86,4,73185,40,9,4,15,Single,6,Needs Improvement
4.33,3,137196,33,0,5,16,Single,13,Exceeds
1.5,3,68496,55,4,3,6,Separated,1,PIP
2.12,3,51416,33,7,5,9,Divorced,4,Needs Improvement
1.48,4,64345,37,11,4,9,Separated,5,PIP
4.7,3,95988,64,0,5,15,Single,11,Exceeds
2.98,2,98030,33,7,3,15,Divorced,8,Needs Improvement
4.27,0,180556,53,7,4,12,Single,8,Fully Meets
3.72,3,110687,54,6,4,8,Separated,6,Needs Improvement
4.7,3,175542,40,7,4,8,Married,8,Fully Meets
4.75,2,46970,39,7,5,16,Married,12,Exceeds
4.74,0,218680,68,2,5,15,Divorced,9,Fully Meets
2.99,3,68951,34,13,5,9,Widowed,8,Needs Improvement
4.79,1,181724,57,4,5,17,Divorced,10,Exceeds
1.38,7,70412,43,13,1,8,Separated,2,PIP
3.83,3,56667,59,13,5,9,Divorced,7,Needs Improvement
4.37,1,153354,59,5,5,11,Married,10,Fully Meets
4.49,0,59008,36,5,5,17,Single,15,Exceeds
4.41,0,191429,39,6,4,15,Single,8,Fully Meets
4.83,1,115212,46,10,4,14,Single,7,Fully Meets
2.83,3,134598,39,5,4,13,Single,8,Needs Improvement
4.79,1,73074,66,2,5,14,Married,10,Fully Meets
4.79,2,65928,35,4,5,8,Single,13,Exceeds
4.49,2,161392,43,7,5,7,Single,10,Exceeds
1.21,6,49015,50,9,4,12,Divorced,4,PIP
2.9,4,85553,35,5,5,10,Widowed,5,Needs Improvement
4.54,1,46743,68,3,5,9,Married,8,Fully Meets
3.96,4,138386,38,14,4,11,Separated,4,Needs Improvement
2.47,4,89442,33,16,4,12,Widowed,5,Needs Improvement
1.56,5,68455,44,22,2,11,Divorced,4,PIP
2.17,2,57289,60,8,5,7,Single,2,PIP
2.07,3,53574,33,9,2,12,Separated,4,PIP
4.13,2,158413,66,9,4,16,Single,9,Fully Meets
3.94,4,82198,41,12,3,12,Separated,7,Needs Improvement
4.38,3,120072,40,4,5,9,Married,9,Fully Meets
4.97,2,100506,67,2,5,9,Single,12,Exceeds
3.75,4,73065,46,12,4,15,Widowed,4,Needs Improvement
4.82,2,85957,35,4,4,9,Separated,10,Fully Meets
2.8,5,48127,38,17,2,9,Separated,3,PIP
4.69,2,205303,39,8,5,14,Single,7,Fully Meets
4.57,2,190879,50,7,5,10,Single,13,Exceeds
4.24,2,124101,53,8,5,10,Married,13,Exceeds
2.8,3,141669,44,6,3,11,Widowed,8,Needs Improvement
4.47,1,94827,55,1,5,12,Single,15,Exceeds
4.96,3,135509,45,10,4,12,Married,9,Fully Meets
4.69,2,179314,35,9,4,11,Single,8,Fully Meets
4.65,2,155603,65,7,5,13,Separated,13,Exceeds
4.5,1,210429,62,8,5,8,Single,14,Exceeds
4.19,1,178015,65,7,5,8,Married,7,Fully Meets
4.24,2,74841,49,5,4,15,Married,6,Fully Meets
2.21,5,71995,42,23,2,12,Separated,1,PIP
4.17,1,177828,58,6,5,14,Married,13,Exceeds
3.61,2,106196,55,4,4,11,Married,5,Needs Improvement
4.79,1,159576,40,9,4,9,Single,7,Fully Meets
2.43,4,53998,37,7,3,10,Divorced,3,PIP
2.2,4,138523,33,4,4,11,Widowed,6,Needs Improvement
2.28,2,132958,59,14,4,13,Separated,5,Needs Improvement
1.85,5,59770,36,16,2,7,Widowed,2,PIP
4.79,0,102644,49,7,5,10,Separated,14,Exceeds
2.47,5,71409,35,14,2,13,Divorced,2,PIP
4.9,0,152176,56,3,4,12,Single,9,Fully Meets
2.79,2,132327,49,17,4,9,Divorced,6,Needs Improvement
4.61,3,82433,50,6,4,8,Separated,8,Fully Meets
1.45,2,57655,54,12,2,13,Divorced,5,PIP
4.11,1,188911,50,6,4,15,Single,8,Fully Meets
4.38,0,78749,48,8,5,14,Single,14,Exceeds
4.95,1,188658,49,2,5,12,Married,8,Fully Meets
2.41,3,112233,36,10,4,13,Divorced,4,Needs Improvement
4.08,1,184346,51,0,5,13,Single,10,Exceeds
3.34,2,84874,49,7,4,16,Widowed,8,Needs Improvement
4.99,2,127379,32,4,5,12,Single,12,Exceeds
4.73,0,81835,33,5,5,14,Separated,14,Exceeds
4.35,1,173098,64,6,5,7,Divorced,12,Exceeds
4.98,0,112026,57,8,5,9,Single,6,Fully Meets
1.88,4,70510,45,15,4,9,Separated,2,PIP
2.13,2,60613,55,12,3,12,Separated,5,Needs Improvement
4.5,2,183800,66,9,5,13,Single,8,Fully Meets
4.45,2,74842,43,3,5,12,Divorced,12,Exceeds
4.19,0,50919,59,3,5,10,Married,11,Exceeds
3.54,3,134523,47,10,4,11,Separated,4,Needs Improvement
2.69,3,73180,44,7,4,12,Widowed,5,Needs Improvement
3.07,3,69055,46,13,4,11,Widowed,5,Needs Improvement
4.43,2,169261,45,2,5,17,Single,11,Exceeds
4.03,1,49740,68,10,5,14,Separated,7,Fully Meets
2.42,5,48241,41,13,3,14,Divorced,1,PIP
2.29,5,60700,55,23,1,12,Separated,5,PIP
4.93,0,131861,60,3,4,10,Divorced,7,Fully Meets
4.8,0,51786,48,4,5,13,Single,12,Exceeds
3.48,3,103775,56,11,4,12,Divorced,8,Needs Improvement
4.03,0,65108,45,2,5,12,Married,12,Exceeds
4.82,3,148188,54,6,5,12,Single,10,Fully Meets
3.13,3,123984,45,2,3,14,Separated,8,Needs Improvement
1.88,7,46568,40,21,4,6,Divorced,4,PIP
4.51,2,127043,55,0,5,16,Single,14,Exceeds
4.8,0,103141,54,7,5,17,Married,12,Exceeds
2.25,3,111731,58,8,4,13,Separated,5,Needs Improvement
2.93,4,103640,49,5,4,15,Divorced,5,Needs Improvement
4.74,1,193868,62,2,5,11,Married,13,Exceeds
4.18,2,93868,53,4,4,8,Single,9,Fully Meets
4.46,1,225038,55,9,5,16,Single,6,Fully Meets
3.11,2,93912,38,5,5,12,Single,7,Needs Improvement
3.15,6,56910,41,5,3,10,Divorced,1,PIP
4.65,1,119935,44,9,5,16,Married,7,Fully Meets
4.05,1,92242,33,9,4,9,Married,6,Fully Meets
1.52,2,53528,41,12,4,16,Separated,3,PIP
4.47,1,75153,45,3,5,9,Separated,15,Exceeds
1.68,3,73394,35,6,2,6,Divorced,3,PIP
4.73,2,66886,41,5,5,17,Married,6,Fully Meets
4.23,3,87754,42,5,5,12,Married,9,Fully Meets
3.01,4,146141,57,7,4,10,Separated,6,Needs Improvement
3.45,3,100204,45,7,4,15,Separated,7,Needs Improvement
4.37,1,56383,69,8,4,12,Single,10,Fully Meets
4.12,2,48249,52,5,5,11,Married,14,Exceeds
2.42,2,128501,38,14,3,11,Divorced,4,Needs Improvement
4.36,2,185122,55,4,4,8,Single,10,Fully Meets
3.3,3,108292,54,6,5,15,Separated,8,Needs Improvement
2.51,3,54974,41,11,5,7,Widowed,5,Needs Improvement
4.19,2,148796,46,5,5,11,Divorced,11,Exceeds
2.57,3,60146,44,7,4,13,Divorced,8,Needs Improvement
4.2,3,167037,33,9,5,12,Married,9,Fully Meets
3.0,5,74641,37,11,2,11,Widowed,2,PIP
1.34,4,56879,43,4,1,15,Widowed,2,PIP
2.58,4,79080,35,5,3,8,Divorced,6,Needs Improvement
2.34,2,71150,34,10,3,13,Married,7,Needs Improvement
2.57,5,48945,50,7,3,16,Separated,3,PIP
2.43,2,68378,56,3,4,15,Separated,6,Needs Improvement
3.96,3,71256,51,9,3,7,Widowed,7,Needs Improvement
4.54,0,190572,58,3,5,12,Married,15,Exceeds
4.52,0,210363,40,3,4,13,Single,10,Fully Meets
4.36,2,194335,43,1,5,13,Married,11,Exceeds
4.28,3,118906,41,3,5,14,Married,13,Exceeds
3.07,3,65224,57,13,4,12,Separated,6,PIP
4.25,2,121619,66,8,5,10,Single,15,Exceeds
2.52,3,49259,58,15,2,14,Divorced,4,PIP
4.14,0,54566,41,9,4,8,Single,9,Fully Meets
2.8,6,69108,38,9,2,6,Single,5,PIP
2.68,2,138587,54,8,5,13,Married,6,Needs Improvement
1.99,6,71504,32,13,5,14,Divorced,3,PIP
3.63,2,144291,55,10,3,14,Separated,8,Needs Improvement
4.09,1,102664,46,7,5,8,Married,11,Exceeds
4.46,0,207824,68,3,4,9,Separated,9,Fully Meets
4.01,2,123678,56,0,5,9,Married,13,Exceeds
4.82,1,69497,65,7,4,7,Single,8,Fully Meets
2.65,4,127621,58,5,4,9,Separated,7,Needs Improvement
4.96,2,216063,63,2,5,16,Separated,12,Exceeds
4.41,1,64455,37,7,5,10,Single,13,Exceeds
1.35,2,56034,35,4,3,13,Divorced,1,PIP
3.08,6,68837,42,18,5,16,Divorced,4,PIP
2.85,3,93767,34,8,5,9,Widowed,7,Needs Improvement
4.22,3,207521,43,3,4,16,Married,7,Fully Meets
2.73,3,118419,41,12,5,9,Widowed,5,Needs Improvement
4.8,0,124685,42,3,5,15,Married,6,Fully Meets
4.29,3,180400,62,4,5,13,Single,14,Exceeds
4.22,1,84258,45,6,5,15,Single,15,Exceeds
4.49,0,174131,32,0,5,10,Married,12,Exceeds
4.03,1,138020,70,9,4,11,Divorced,9,Fully Meets
1.21,4,59502,41,4,2,16,Married,5,PIP
4.45,0,103544,59,6,5,10,Married,14,Exceeds
3.75,3,93849,40,11,4,12,Widowed,6,Needs Improvement
4.56,1,166526,70,9,4,17,Married,8,Fully Meets
4.51,2,171230,59,3,5,16,Married,6,Fully Meets
1.27,4,66719,36,15,3,16,Separated,3,PIP
3.85,3,105100,36,17,5,12,Separated,5,Needs Improvement
4.23,3,69142,52,2,5,13,Divorced,11,Exceeds
3.39,2,138518,33,4,5,12,Widowed,4,Needs Improvement
4.48,3,205559,48,4,5,14,Married,9,Fully Meets
4.78,2,151546,44,9,4,10,Single,8,Fully Meets
2.63,4,118726,35,10,4,13,Separated,4,Needs Improvement
2.73,5,59541,44,18,4,16,Divorced,2,PIP
4.78,3,148781,67,9,5,13,Single,9,Fully Meets
2.19,3,56645,34,8,4,16,Divorced,8,Needs Improvement
2.82,2,71335,38,16,1,11,Single,4,PIP
3.91,2,78694,46,16,4,9,Separated,7,Needs Improvement
4.29,2,73510,54,6,5,9,Married,10,Fully Meets
2.59,3,61242,58,25,1,7,Widowed,2,PIP
2.86,3,124940,36,17,5,7,Divorced,7,Needs Improvement
4.17,2,216746,48,2,4,10,Married,6,Fully Meets
2.32,4,73311,55,23,2,8,Divorced,4,PIP
1.9,2,51039,51,12,3,6,Separated,0,PIP
4.9,1,63778,54,7,5,10,Single,11,Exceeds
2.97,3,54716,54,8,4,12,Widowed,5,Needs Improvement
4.91,3,94238,70,1,5,9,Married,12,Exceeds
2.7,6,55438,32,22,4,14,Single,4,PIP
4.27,1,187777,66,7,5,13,Single,9,Fully Meets
2.99,2,92086,50,7,3,9,Separated,7,Needs Improvement
3.07,7,49973,38,21,2,11,Divorced,4,PIP
2.04,2,63042,59,9,4,15,Separated,8,Needs Improvement
2.49,7,66111,45,10,2,15,Widowed,3,PIP
1.85,6,57086,44,8,5,7,Divorced,6,PIP
1.54,6,66925,58,12,2,15,Separated,4,PIP
3.51,3,112576,38,13,3,8,Widowed,5,Needs Improvement
4.98,3,194420,69,3,5,13,Single,7,Fully Meets
2.6,5,66800,37,17,3,14,Separated,0,PIP
4.6,3,218395,65,7,5,9,Married,8,Fully Meets
3.02,6,62513,35,16,2,14,Married,0,PIP
2.89,5,48330,34,3,3,11,Divorced,1,PIP
4.96,3,150997,36,5,5,10,Married,12,Exceeds
4.57,1,54459,43,8,5,16,Divorced,7,Fully Meets
2.65,4,73652,53,24,3,7,Divorced,5,PIP
4.25,2,209264,51,7,5,15,Single,12,Exceeds
4.6,1,201489,68,0,5,7,Married,11,Exceeds
2.54,3,135387,42,10,5,9,Divorced,6,Needs Improvement
2.06,3,45875,37,14,3,10,Separated,3,PIP
4.02,2,191252,56,1,5,14,Married,13,Exceeds
2.43,2,52797,39,18,1,9,Divorced,0,PIP
4.31,2,56154,35,6,5,8,Single,13,Exceeds
4.01,1,206318,43,2,5,16,Single,12,Exceeds
4.34,1,140669,33,4,4,7,Separated,8,Fully Meets
1.66,6,70804,52,12,3,13,Divorced,1,PIP
4.89,2,170389,33,2,5,13,Married,11,Exceeds
2.63,3,131232,52,11,4,16,Separated,6,Needs Improvement
2.24,4,67936,54,14,1,6,Divorced,4,PIP
4.73,0,104159,56,3,5,10,Married,8,Fully Meets
2.36,3,70170,41,6,1,14,Divorced,1,PIP
4.36,2,118748,71,5,5,17,Married,7,Fully Meets
2.53,3,146704,53,10,5,15,Separated,5,Needs Improvement
3.17,5,52420,51,7,2,14,Separated,3,PIP
2.05,3,71142,35,16,2,12,Divorced,2,PIP
3.0,5,69104,53,6,4,10,Single,3,PIP
4.08,1,119678,44,8,4,14,Single,7,Fully Meets
4.75,0,127456,51,4,5,15,Married,14,Exceeds
4.53,2,103761,35,8,4,14,Single,9,Fully Meets
3.12,6,48690,40,5,3,9,Divorced,1,PIP
2.09,5,63787,51,6,3,10,Single,5,PIP
3.07,3,60523,51,25,1,12,Separated,2,PIP
4.66,2,58884,42,10,5,11,Single,8,Fully Meets
4.41,1,124922,43,6,5,8,Married,9,Fully Meets
2.66,3,144925,44,3,4,12,Separated,7,Needs Improvement
1.43,2,74369,36,12,4,16,Divorced,4,PIP
4.68,2,45180,60,4,5,9,Single,6,Fully Meets
4.17,2,101416,46,3,5,17,Separated,8,Fully Meets
4.32,1,79626,52,9,5,15,Married,7,Fully Meets
4.5,2,98062,70,0,5,9,Single,15,Exceeds
3.62,4,123582,53,11,4,13,Separated,6,Needs Improvement
4.78,2,62682,47,2,5,12,Single,7,Fully Meets
4.44,3,165579,44,7,4,8,Single,8,Fully Meets
1.2,3,53420,56,5,2,10,Divorced,1,PIP
1.46,5,59522,48,7,5,15,Separated,3,PIP
2.92,3,93904,54,9,4,7,Divorced,5,Needs Improvement
3.08,5,66581,36,16,5,5,Separated,4,PIP
2.57,4,101910,58,10,5,8,Divorced,6,Needs Improvement
4.31,2,96528,42,4,5,10,Single,14,Exceeds
2.82,4,53028,53,9,2,13,Separated,0,PIP
4.06,1,54044,57,4,5,10,Married,14,Exceeds
2.2,4,58301,31,12,1,17,Separated,4,PIP
4.78,2,102664,35,7,5,12,Single,8,Fully Meets
4.23,1,96970,39,7,5,10,Single,13,Exceeds
4.49,3,97596,55,8,5,15,Married,7,Fully Meets
1.19,3,49028,45,15,4,15,Married,5,PIP
1.3,6,58869,48,21,3,11,Divorced,1,PIP
4.76,3,139078,71,6,4,16,Married,9,Fully Meets
1.48,5,45441,53,24,5,15,Separated,0,PIP
3.43,3,63233,37,16,5,14,Widowed,7,Needs Improvement
4.72,3,61446,45,7,5,13,Married,10,Fully Meets
2.25,3,110338,35,11,3,17,Widowed,5,Needs Improvement
4.95,2,62782,45,1,5,15,Single,14,Exceeds
2.41,7,47658,56,12,4,11,Separated,3,PIP
3.04,4,127880,53,6,5,16,Separated,7,Needs Improvement
4.73,3,91978,32,6,5,14,Single,6,Fully Meets
4.42,3,171104,37,7,5,14,Separated,14,Exceeds
2.77,2,77040,47,4,3,15,Divorced,7,Needs Improvement
4.4,1,93539,58,9,4,11,Married,8,Fully Meets
2.33,7,67830,58,4,3,7,Separated,3,PIP
2.53,5,65590,50,7,3,6,Single,5,PIP
4.19,1,173474,33,4,4,14,Single,7,Fully Meets
4.28,1,216351,67,2,5,14,Married,15,Exceeds
4.04,0,75242,46,4,5,7,Married,14,Exceeds
3.64,4,52337,39,16,4,16,Separated,5,Needs Improvement
2.45,4,95602,49,12,3,13,Divorced,7,Needs Improvement
4.85,2,216268,43,4,4,15,Married,8,Fully Meets
2.22,4,68653,55,18,5,7,Separated,2,PIP
2.85,7,72193,39,18,3,17,Divorced,0,PIP
4.84,0,85695,51,6,5,16,Divorced,12,Exceeds
2.49,6,63237,53,18,3,12,Separated,2,PIP
2.15,2,74011,58,6,1,9,Divorced,5,PIP
4.6,2,88427,58,8,5,12,Married,14,Exceeds
2.41,4,74520,53,13,4,16,Divorced,4,PIP
2.02,2,113367,56,12,4,17,Separated,4,Needs Improvement
4.08,2,123947,49,6,5,14,Divorced,9,Fully Meets
4.47,0,107482,63,6,4,8,Married,10,Fully Meets
4.43,0,70892,54,9,5,8,Married,7,Fully Meets
4.77,0,185158,48,4,4,12,Married,10,Fully Meets
4.21,1,134541,69,4,5,9,Single,11,Exceeds
4.59,1,215067,59,2,5,12,Married,13,Exceeds
2.28,3,55177,39,12,4,8,Widowed,7,Needs Improvement
3.42,3,108456,46,4,4,11,Divorced,7,Needs Improvement
4.61,3,145169,64,8,4,13,Single,8,Fully Meets
3.06,3,105459,46,12,4,16,Separated,8,Needs Improvement
2.09,3,134204,32,15,4,10,Single,7,Needs Improvement
3.11,3,146502,56,3,4,8,Divorced,7,Needs Improvement
2.91,3,124904,51,8,4,17,Divorced,5,Needs Improvement
2.46,7,47369,48,18,1,15,Married,4,PIP
2.46,5,51815,32,22,3,11,Divorced,3,PIP
4.29,3,71460,69,9,5,14,Separated,10,Fully Meets
4.48,3,123774,49,10,4,15,Married,8,Fully Meets
1.23,5,45271,55,23,5,15,Divorced,5,PIP
2.78,6,50378,33,24,1,16,Separated,5,PIP
3.2,3,143711,35,3,4,9,Married,4,Needs Improvement
2.21,2,85263,58,6,3,14,Divorced,7,Needs Improvement
2.75,3,60148,49,10,4,14,Divorced,7,Needs Improvement
3.19,3,134490,32,9,3,16,Divorced,7,Needs Improvement
1.78,3,65648,42,5,4,6,Separated,5,PIP
3.21,3,126020,45,8,4,14,Separated,7,Needs Improvement
1.95,6,45363,55,21,3,16,Divorced,4,PIP
4.47,3,96315,40,6,5,12,Married,9,Fully Meets
3.86,4,61197,35,14,3,16,Widowed,8,Needs Improvement
4.67,2,167778,56,7,4,9,Single,6,Fully Meets
2.55,3,67367,59,9,5,13,Single,5,Needs Improvement
1.94,3,62951,41,17,5,17,Divorced,3,PIP
4.08,1,110087,67,6,5,8,Single,10,Fully Meets
2.68,3,150860,48,6,3,14,Divorced,7,Needs Improvement
2.82,3,54857,59,11,3,15,Widowed,4,Needs Improvement
2.9,5,72399,43,16,5,11,Divorced,4,PIP
2.99,3,86530,45,17,5,15,Divorced,7,Needs Improvement
3.8,4,72971,39,11,5,11,Divorced,6,Needs Improvement
2.16,2,99249,49,11,5,16,Widowed,6,Needs Improvement
3.86,4,68667,36,9,5,17,Widowed,7,Needs Improvement
4.44,2,79436,67,4,4,15,Married,6,Fully Meets
4.46,2,209238,66,8,5,12,Single,8,Fully Meets
4.43,1,139134,67,2,4,14,Married,8,Fully Meets
2.67,3,105056,44,12,4,16,Widowed,6,Needs Improvement
3.17,3,54906,50,22,1,8,Divorced,0,PIP
4.66,2,80825,32,3,5,15,Married,14,Exceeds
2.5,5,66684,51,12,3,14,Divorced,0,PIP
2.9,3,144013,35,11,5,15,Divorced,7,Needs Improvement
4.52,0,69837,50,4,5,13,Single,15,Exceeds
2.94,7,54118,37,10,5,17,Separated,3,PIP
4.53,1,96232,64,2,5,16,Single,8,Fully Meets
2.43,3,140124,57,4,5,13,Widowed,6,Needs Improvement
2.8,3,141624,49,7,4,15,Separated,5,Needs Improvement
2.51,4,97837,32,13,4,16,Widowed,7,Needs Improvement
2.17,3,136978,57,15,4,11,Separated,7,Needs Improvement
3.14,5,70745,32,15,5,15,Divorced,0,PIP
4.16,3,105774,37,2,5,7,Single,14,Exceeds
4.35,2,137660,59,6,5,8,Separated,12,Exceeds
1.68,6,55357,44,20,5,15,Divorced,0,PIP
2.57,4,62751,44,17,2,17,Widowed,2,PIP
4.71,2,96892,42,1,5,13,Single,12,Exceeds
4.2,1,169076,64,6,5,17,Separated,9,Fully Meets
4.83,2,223465,36,5,5,10,Married,11,Exceeds
1.86,4,58777,49,9,2,12,Separated,4,PIP
4.45,1,169715,33,7,4,15,Single,8,Fully Meets
2.09,2,79735,38,5,4,9,Divorced,6,Needs Improvement
3.45,2,63296,33,15,4,8,Widowed,5,Needs Improvement
4.36,3,46781,53,2,4,15,Single,7,Fully Meets
1.71,3,59135,38,23,3,14,Separated,1,PIP
4.56,1,173639,41,6,5,11,Single,10,Exceeds
4.23,1,138910,69,2,5,7,Married,10,Exceeds
4.89,3,67005,47,6,5,9,Married,11,Exceeds
3.25,3,91693,52,11,4,15,Widowed,5,Needs Improvement
4.29,3,135361,47,2,5,12,Single,13,Exceeds
4.05,3,170519,71,10,4,9,Single,7,Fully Meets
1.6,5,46317,55,3,4,14,Divorced,3,PIP
4.26,1,160128,32,2,4,15,Divorced,9,Fully Meets
4.86,2,175468,44,7,5,10,Married,11,Exceeds
3.63,2,118049,40,12,5,15,Widowed,7,Needs Improvement
2.11,2,59888,42,12,4,11,Divorced,0,PIP
4.51,1,139052,37,3,5,11,Married,10,Fully Meets
1.92,4,72289,33,4,5,7,Divorced,4,PIP
4.94,2,125492,42,0,5,9,Single,15,Exceeds
1.95,7,58098,33,10,4,11,Divorced,3,PIP
